dep;sexe;jour;hosp;rea;rad;dc;hosp_h;rea_h;rad_h;dc_h;hosp_f;rea_f;rad_f;dc_f
1;0;18/03/2020;2;0;1;0;1;0;1;0;1;0;0;0
2;0;18/03/2020;41;10;18;11;19;4;11;6;22;6;7;5
3;0;18/03/2020;4;0;1;0;1;0;0;0;3;0;1;0
4;0;18/03/2020;3;1;2;0;3;1;0;0;0;0;2;0
5;0;18/03/2020;8;1;9;0;1;0;7;0;7;1;2;0
6;0;18/03/2020;25;1;47;2;15;1;19;0;10;0;28;2
7;0;18/03/2020;12;1;0;0;7;1;0;0;3;0;0;0
8;0;18/03/2020;0;0;1;0;0;0;1;0;0;0;0;0
9;0;18/03/2020;1;1;2;0;0;0;1;0;1;1;1;0
10;0;18/03/2020;5;0;0;0;4;0;0;0;1;0;0;0
11;0;18/03/2020;8;7;9;3;6;5;2;2;2;2;7;1
12;0;18/03/2020;7;2;1;0;3;1;0;0;4;1;1;0
13;0;18/03/2020;98;11;59;4;50;6;35;2;48;5;23;2
14;0;18/03/2020;4;1;0;0;3;0;0;0;1;1;0;0
15;0;18/03/2020;2;1;0;0;2;1;0;0;0;0;0;0
16;0;18/03/2020;1;0;0;0;0;0;0;0;1;0;0;0
17;0;18/03/2020;5;2;2;0;5;2;2;0;0;0;0;0
18;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
19;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
21;0;18/03/2020;60;16;4;0;30;10;0;0;30;6;4;0
22;0;18/03/2020;1;1;3;0;1;1;1;0;0;0;2;0
23;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
24;0;18/03/2020;2;1;1;0;1;1;1;0;1;0;0;0
25;0;18/03/2020;26;3;8;1;15;2;2;1;11;1;6;0
26;0;18/03/2020;17;2;0;0;10;1;0;0;7;1;0;0
27;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
28;0;18/03/2020;5;3;0;1;1;1;0;1;4;2;0;0
29;0;18/03/2020;13;5;3;0;8;4;2;0;5;1;1;0
2A;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
2B;0;18/03/2020;0;0;0;0;0;0;0;0;0;0;0;0
30;0;18/03/2020;5;3;6;0;5;3;1;0;0;0;5;0
31;0;18/03/2020;23;5;11;0;15;4;4;0;8;1;7;0
32;0;18/03/2020;1;1;0;0;1;1;0;0;0;0;0;0
33;0;18/03/2020;7;4;3;1;5;3;1;0;2;1;2;1
34;0;18/03/2020;37;15;18;2;18;7;9;1;18;7;9;1
